bareme,anciennete,echelle
54598.34,33,150/1
54598.34,34,150/1
54598.34,35,150/1
54598.34,36,150/1
54598.34,37,150/1
54598.34,38,150/1
54598.34,39,150/1
54598.34,40,150/1
54598.34,41,150/1
54598.34,42,150/1
54598.34,43,150/1
54598.34,44,150/1
54598.34,45,150/1
47362.49,0,160/1
47362.49,1,160/1
48701.99,2,160/1
48701.99,3,160/1
50041.49,4,160/1
50041.49,5,160/1
51380.99,6,160/1
51380.99,7,160/1
52720.49,8,160/1
52720.49,9,160/1
54059.99,10,160/1
54059.99,11,160/1
55399.49,12,160/1
55399.49,13,160/1
56738.99,14,160/1
56738.99,15,160/1
58078.49,16,160/1
58078.49,17,160/1
59417.99,18,160/1
59417.99,19,160/1
60757.49,20,160/1
60757.49,21,160/1
62096.99,22,160/1
62096.99,23,160/1
62096.99,24,160/1
62096.99,25,160/1
62096.99,26,160/1
62096.99,27,160/1
62096.99,28,160/1
62096.99,29,160/1
62096.99,30,160/1
62096.99,31,160/1
62096.99,32,160/1
62096.99,33,160/1
62096.99,34,160/1
62096.99,35,160/1
62096.99,36,160/1
62096.99,37,160/1
62096.99,38,160/1
62096.99,39,160/1
62096.99,40,160/1
62096.99,41,160/1
62096.99,42,160/1
62096.99,43,160/1
62096.99,44,160/1
62096.99,45,160/1
52394.98,0,170/1
52394.98,1,170/1
53957.31,2,170/1
53957.31,3,170/1
55519.64,4,170/1
55519.64,5,170/1
57081.97,6,170/1
57081.97,7,170/1
58644.3,8,170/1
58644.3,9,170/1
60206.63,10,170/1
60206.63,11,170/1
61768.96,12,170/1
61768.96,13,170/1
63331.29,14,170/1
63331.29,15,170/1
64893.62,16,170/1
64893.62,17,170/1
66455.95,18,170/1
66455.95,19,170/1
68018.28,20,170/1
68018.28,21,170/1
69580.61,22,170/1
69580.61,23,170/1
69580.61,24,170/1
69580.61,25,170/1
69580.61,26,170/1
69580.61,27,170/1
69580.61,28,170/1
69580.61,29,170/1
69580.61,30,170/1
69580.61,31,170/1
69580.61,32,170/1
69580.61,33,170/1
69580.61,34,170/1
69580.61,35,170/1
69580.61,36,170/1
69580.61,37,170/1
69580.61,38,170/1
69580.61,39,170/1
69580.61,40,170/1
69580.61,41,170/1
69580.61,42,170/1
69580.61,43,170/1
69580.61,44,170/1
69580.61,45,170/1
14275.77,0,200/1
14551.19,1,200/1
14826.61,2,200/1
15402.18,3,200/1
15402.18,4,200/1
16040.63,5,200/1
16040.63,6,200/1
16679.08,7,200/1
16679.08,8,200/1
17617.68,9,200/1
17617.68,10,200/1
18256.13,11,200/1
18256.13,12,200/1
18894.58,13,200/1
18894.58,14,200/1
19533.03,15,200/1
19533.03,16,200/1
20171.48,17,200/1
20171.48,18,200/1
20809.93,19,200/1
20809.93,20,200/1
21448.38,21,200/1
21448.38,22,200/1
22086.83,23,200/1
22086.83,24,200/1
22725.28,25,200/1
22725.28,26,200/1
23363.73,27,200/1
23363.73,28,200/1
24002.18,29,200/1
24002.18,30,200/1
24640.63,31,200/1
24640.63,32,200/1
25019.92,33,200/1
25019.92,34,200/1
25399.21,35,200/1
25399.21,36,200/1
25778.5,37,200/1
25778.5,38,200/1
26157.79,39,200/1
26157.79,40,200/1
26537.08,41,200/1
26537.08,42,200/1
26537.08,43,200/1
26537.08,44,200/1
26537.08,45,200/1
15102.0,0,200/2
15377.42,1,200/2
15652.84,2,200/2
16228.41,3,200/2
16228.41,4,200/2
16866.86,5,200/2
16866.86,6,200/2
17505.31,7,200/2
17505.31,8,200/2
18443.91,9,200/2
18443.91,10,200/2
19082.36,11,200/2
19082.36,12,200/2
19720.81,13,200/2
19720.81,14,200/2
20359.26,15,200/2
20359.26,16,200/2
20997.71,17,200/2
20997.71,18,200/2
21636.16,19,200/2
21636.16,20,200/2
22274.61,21,200/2
22274.61,22,200/2
22913.06,23,200/2
22913.06,24,200/2
23551.51,25,200/2
23551.51,26,200/2
24189.96,27,200/2
24189.96,28,200/2
24828.41,29,200/2
24828.41,30,200/2
25466.86,31,200/2
25466.86,32,200/2
25846.15,33,200/2
25846.15,34,200/2
26225.44,35,200/2
26225.44,36,200/2
26604.73,37,200/2
26604.73,38,200/2
26984.02,39,200/2
26984.02,40,200/2
27363.31,41,200/2
27363.31,42,200/2
27363.31,43,200/2
27363.31,44,200/2
27363.31,45,200/2
14275.77,0,201/1
14551.19,1,201/1
14826.61,2,201/1
15402.18,3,201/1
15402.18,4,201/1
16040.63,5,201/1
16040.63,6,201/1
16679.08,7,201/1
16679.08,8,201/1
17617.68,9,201/1
17617.68,10,201/1
18256.13,11,201/1
18256.13,12,201/1
18894.58,13,201/1
18894.58,14,201/1
19533.03,15,201/1
19533.03,16,201/1
20171.48,17,201/1
20171.48,18,201/1
20809.93,19,201/1
20809.93,20,201/1
21448.38,21,201/1
21448.38,22,201/1
22086.83,23,201/1
22086.83,24,201/1
22725.28,25,201/1
22725.28,26,201/1
23363.73,27,201/1
23363.73,28,201/1
24002.18,29,201/1
24002.18,30,201/1
24640.63,31,201/1
24640.63,32,201/1
25019.92,33,201/1
25019.92,34,201/1
25399.21,35,201/1
25399.21,36,201/1
25778.5,37,201/1
25778.5,38,201/1
26157.79,39,201/1
26157.79,40,201/1
26537.08,41,201/1
26537.08,42,201/1
